deliverable_id|team_id
1019|32
1020|66
1021|56
1021|69
1021|4
1021|5
1021|14
1021|6
1021|21
1021|35
1021|36
1021|70
1021|68
1021|62
1021|38
1021|3
1021|39
1021|40
1021|2
1021|41
1021|12
1021|67
1021|71
1021|55
1021|72
1021|9
1021|31
1021|22
1021|61
1021|27
1021|58
1021|65
1021|66
1021|57
1021|63
1021|59
1021|73
1021|33
1021|60
1021|32
1021|74
57|66
1022|75
1022|64
1022|8
1023|56
1023|8
1023|9
1023|66
1024|76
60|70
60|76
1025|77
1025|78
1025|50
1025|9
1025|10
1025|79
1025|80
1025|81
1026|81
1027|81
1028|77
1028|50
1028|81
1029|77
1029|50
1029|8
1029|10
1029|80
1029|81
899|77
899|81
1030|77
1030|50
1030|8
1030|80
900|77
900|81
1031|77
1031|50
1031|8
1031|80
901|77
901|81
1032|14
1032|77
1032|50
1032|8
1032|10
1032|79
1032|80
1033|77
1033|50
1033|79
1033|80
1033|81
1034|50
1034|81
1035|77
1035|50
1035|79
1035|80
903|77
903|81
74|77
74|79
74|80
1036|50
1036|79
1036|80
1037|77
1037|50
1037|79
1037|80
1038|77
1038|50
1038|79
1039|77
1039|50
1039|10
1039|79
1039|81
1040|77
1040|50
1040|81
1041|50
1041|79
1041|80
1042|77
1042|78
1042|50
1042|81
498|80
498|73
613|77
613|79
1043|77
1043|50
1043|10
1043|79
909|80
910|78
700|74
911|60
616|70
1044|61
1044|66
1045|14
1045|8
1045|18
1045|63
1045|59
1045|60
99|56
99|62
99|55
102|70
102|76
1046|14
1046|8
1046|63
1046|59
1046|60
1047|14
1047|8
1047|63
1047|59
1047|60
619|58
619|57
619|59
619|60
106|58
106|63
107|58
107|57
107|63
1048|14
1048|8
1048|58
1048|60
1049|74
707|61
111|72
1050|40
1050|75
1050|64
1050|8
807|72
117|60
919|67
920|67
808|74
1051|74
1052|21
1052|31
122|62
122|57
122|73
711|63
711|59
1053|14
1053|8
1053|63
1053|59
1053|60
1054|14
1054|63
1054|59
125|62
924|61
924|66
127|72
128|61
811|72
927|57
927|63
927|60
133|71
134|67
134|71
135|71
1055|35
928|67
928|71
929|61
1056|56
1056|69
1056|55
1056|9
932|60
814|74
1057|56
1057|69
1057|14
1057|78
934|74
516|56
516|70
516|60
517|71
937|72
937|60
156|58
156|65
1058|14
1058|59
1058|73
160|63
160|59
164|64
1059|14
1059|70
1059|62
1059|8
1059|9
1059|58
1059|65
1059|60
1059|32
1059|74
722|66
723|76
944|56
944|74
176|75
176|64
177|63
177|73
947|67
822|74
182|70
525|58
184|71
724|67
724|71
527|71
1060|62
1060|40
951|70
951|62
951|73
951|60
632|68
823|72
952|69
953|64
953|60
1061|68
1061|18
1061|33
1062|68
955|71
1063|6
1063|68
1063|62
1063|8
1063|9
1064|68
1064|9
958|64
958|60
1065|75
1066|32
1066|74
1067|58
1067|65
731|73
214|68
1068|56
1068|21
1068|68
1068|58
1068|18
1068|32
1069|14
1069|8
1069|57
1069|63
1069|59
1069|73
1069|60
963|66
963|57
963|63
963|59
963|73
1070|56
1070|69
1070|4
1070|5
1070|14
1070|6
1070|35
1070|62
1070|38
1070|3
1070|50
1070|39
1070|40
1070|2
1070|41
1070|12
1070|64
1070|55
1070|76
1070|72
1070|9
1070|10
1070|54
1070|61
1070|28
1070|27
1070|58
1070|65
1070|66
1070|57
1070|63
1070|59
1070|73
1070|33
1070|60
1070|32
1070|74
1071|5
1071|14
1071|59
222|59
222|73
966|66
421|60
226|56
1072|14
1072|78
1072|32
835|72
229|60
969|71
233|64
234|58
234|65
235|61
741|70
741|61
1073|61
1074|76
1075|14
1075|8
1075|57
1075|59
1075|60
743|57
743|59
1076|57
241|64
246|70
246|75
246|60
1077|14
1077|6
1077|70
1077|40
1077|8
1077|9
1077|66
1078|4
1078|14
1078|62
1078|40
1078|8
1078|76
1078|9
1079|62
746|66
1080|66
1081|56
1081|69
1081|5
1081|14
1081|36
1081|68
1081|3
1081|12
1081|67
1081|71
1081|61
1081|58
1081|65
1081|66
1081|33
549|56
549|74
550|55
749|55
1082|66
1083|55
257|72
258|72
841|74
260|71
